date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:35	3594/3594	---M--	200	added ('OK')	application/javascript	etag:dot:06a1b8db-ca68-4341-b49a-849c2e8fd161:1513853454000:3594	https://www.careem.com/js/gMapStyles.js	I:/My%20websites/bitfood-crypto/bitfood-crypto/www.careem.com/js/gMapStyles.js	(from https://www.careem.com/en-ae/careemplus/)
00:46:35	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	I:/My%20websites/bitfood-crypto/bitfood-crypto/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://www.careem.com/en-ae/careemplus/)
00:46:35	55852/55852	---M--	200	added ('OK')	application/javascript	etag:dot:2752439b-d0fa-42f1-a4b9-77db3f3359f6:1598301021000:55852	https://www.careem.com/js/elastic-apm-rum.umd.min.js	I:/My%20websites/bitfood-crypto/bitfood-crypto/www.careem.com/js/elastic-apm-rum.umd.min.js	(from https://www.careem.com/en-ae/careemplus/)
00:46:35	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	I:/My%20websites/bitfood-crypto/bitfood-crypto/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://www.careem.com/en-ae/careemplus/)
00:46:35	55967/55967	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-da9f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.9.0/css/all.min.css	I:/My%20websites/bitfood-crypto/bitfood-crypto/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.9.0/css/all.min.css	(from https://www.careem.com/en-ae/careemplus/)
00:46:36	4362/4362	---M--	200	added ('OK')	image/png	etag:dot:4edc1a62-8e11-42da-af31-f64ebe7ddad0:1566295703000:4362	https://www.careem.com/pubweb-v2/images/icon-globe.png	I:/My%20websites/bitfood-crypto/bitfood-crypto/www.careem.com/pubweb-v2/images/icon-globe.png	(from https://www.careem.com/en-ae/careemplus/)
00:46:37	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Tue,%2027%20Jul%202021%2019:17:59%20GMT	https://s3-eu-west-1.amazonaws.com/unpkg-ui-lib/@careem/ui-lib/0.1.7/DefaultGrid+Footer+Header/bundle.min.js	I:/My%20websites/bitfood-crypto/bitfood-crypto/s3-eu-west-1.amazonaws.com/unpkg-ui-lib/@careem/ui-lib/0.1.7/DefaultGrid+Footer+Header/bundle.min.1f.delayed	(from https://www.careem.com/en-ae/careemplus/)
00:46:37	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	I:/My%20websites/bitfood-crypto/bitfood-crypto/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://www.careem.com/en-ae/careemplus/)
00:46:37	6842/6842	---M--	200	added ('OK')	application/javascript	etag:dot:361cfc1f-ee20-46ee-bdfb-c614de0eabe7:1567675344000:6842	https://www.careem.com/pubweb-v2/js/canvas-video-player.js	I:/My%20websites/bitfood-crypto/bitfood-crypto/www.careem.com/pubweb-v2/js/canvas-video-player.js	(from https://www.careem.com/en-ae/careemplus/)
00:46:37	4976/4976	---M--	200	added ('OK')	application/javascript	etag:dot:9b9b7fa6-68ce-4652-bad7-d3a6500effb5:1569301841000:4976	https://www.careem.com/pubweb-v2/js/app-v2.js?v=1.1.01	I:/My%20websites/bitfood-crypto/bitfood-crypto/www.careem.com/pubweb-v2/js/app-v25d4b.js	(from https://www.careem.com/en-ae/careemplus/)
